# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian3_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian3_1.data.R
# init = 2 (Default)
# random
#   seed = 1750856219
# output
#   file = CmdStanGaussian3_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-5128.07,0.98873,0.329064,2,3,0,5128.18,0.00111852,1.01595
-5127.39,0.997079,0.50435,2,3,0,5128.18,0.00916888,1.01585
-5128.1,0.824938,0.783192,2,3,0,5128.23,0.0048898,1.00566
-5128.25,0.552346,0.835764,2,3,0,5130.5,0.00955889,1.0229
-5127.91,0.979552,0.49758,3,11,0,5129.11,0.00380066,1.00807
-5128.08,0.941927,0.738873,2,3,0,5128.67,0.02034,1.02127
-5128.08,0.00175154,1.00883,1,1,0,5132.45,0.02034,1.02127
-5127.93,0.971695,0.19007,3,11,0,5130.81,0.0174186,1.0046
-5128.52,0.932384,0.277245,3,7,0,5131.45,0.0282786,1.00739
-5128.4,1,0.371119,3,7,0,5128.62,-0.00108501,1.01654
-5128.17,0.877818,0.569602,2,7,0,5130.07,0.0278325,1.01414
-5128.26,0.805859,0.67673,2,3,0,5130.09,-0.000425696,1.01579
-5128.79,0.871432,0.692554,1,1,0,5128.96,-0.00339156,1.01701
-5128.92,0.986237,0.809835,2,3,0,5129.43,0.032537,1.01176
-5128.92,0.571235,1.1932,1,3,0,5129.54,0.032537,1.01176
-5128.42,1,0.758148,2,3,0,5128.9,-0.00191868,1.01157
-5128.42,0.00553231,1.14419,1,1,0,5131.01,-0.00191868,1.01157
-5127.32,0.999111,0.235953,3,7,0,5128.66,0.0159932,1.01613
-5127.24,1,0.356031,3,7,0,5127.35,0.0109257,1.0125
-5127.47,0.959614,0.535991,2,3,0,5127.64,0.0209501,1.01135
-5128.5,0.702934,0.742292,2,3,0,5129.2,0.00681296,1.02343
-5128.5,0.613541,0.619763,2,3,0,5132.28,0.00681296,1.02343
-5128.13,0.972825,0.4354,3,7,0,5129.56,0.0236438,1.00604
-5128.42,0.966969,0.616333,2,3,0,5128.76,0.00914283,1.02367
-5128.08,0.958634,0.859834,1,3,0,5128.65,0.00327412,1.01885
-5127.77,1,1.17682,1,3,0,5127.91,0.0165427,1.00544
-5127.77,3.54027e-07,1.73839,1,1,0,5128.42,0.0165427,1.00544
-5127.86,0.991554,0.380495,1,1,0,5127.89,0.0163392,1.00483
-5128.98,0.886514,0.553952,4,19,0,5129.71,0.0322081,1.00938
-5128.27,0.954588,0.659114,2,3,0,5129.94,0.00348546,1.00537
-5127.82,0.895617,0.889962,2,7,0,5128.86,0.00369899,1.00927
-5127.71,0.800009,1.07319,2,7,0,5128.06,0.0205947,1.00742
-5127.71,0.0535857,1.08105,1,1,0,5130.05,0.0205947,1.00742
-5127.57,0.999535,0.272365,3,7,0,5128.08,0.00519101,1.01172
-5127.56,0.948615,0.399012,3,7,0,5128.68,0.0224025,1.01298
-5127.3,0.933315,0.530512,1,3,0,5128.3,0.0103149,1.01494
-5127.84,0.899342,0.684183,1,3,0,5127.88,0.00266942,1.01503
-5127.84,0.147859,0.82753,1,1,0,5130.71,0.00266942,1.01503
-5127.52,1,1.01946,1,1,0,5127.81,0.00609374,1.01475
-5127.52,0,14.6655,0,1,1,5128.27,0.00609374,1.01475
-5127.52,5.52758e-15,2.47849,1,1,0,5129.35,0.00609374,1.01475
-5128.22,0.992698,0.244459,4,15,0,5128.55,0.0244012,1.00597
-5128.26,0.997891,0.323818,2,3,0,5128.49,0.0266144,1.00781
-5127.6,0.979775,0.502771,2,7,0,5129.15,0.00499105,1.01132
-5127.21,1,0.803828,2,3,0,5127.6,0.0127226,1.01179
-5127.21,0.0143658,1.43624,1,1,0,5128.9,0.0127226,1.01179
-5127.3,0.999021,0.119325,3,15,0,5127.57,0.014463,1.00958
-5127.77,0.9934,0.218947,3,11,0,5128,0.0137239,1.02058
-5130.74,0.898122,0.40145,3,7,0,5131.24,0.0276993,1.02948
-5127.52,1,0.549325,3,7,0,5130.42,0.0209101,1.01562
-5127.44,1,1.04036,1,1,0,5127.58,0.0184791,1.01658
-5128.12,0.403731,1.96738,1,1,0,5128.62,0.00186416,1.01784
-5127.69,0.991337,0.577037,2,3,0,5128.39,0.00907919,1.01918
-5131.4,0.4272,1.063,1,3,0,5131.64,0.0230354,1.03292
-5127.38,0.979445,0.342898,2,5,0,5132.73,0.0140718,1.0172
-5127.93,0.954265,0.608253,2,3,0,5128.09,0.0259083,1.01421
-5127.68,1,0.992229,2,3,0,5127.9,0.00384302,1.013
-5127.68,0.515554,1.84434,1,1,0,5127.98,0.00384302,1.013
-5127.67,0.916263,0.801014,2,7,0,5128.42,0.0151618,1.01982
-5127.6,1,1.15387,2,3,0,5127.75,0.012158,1.00651
-5127.6,0.0273546,2.11243,1,1,0,5128.35,0.012158,1.00651
-5127.94,0.99681,0.226613,3,7,0,5127.98,0.0141524,1.00418
-5127.51,0.9918,0.412771,3,7,0,5128.4,0.0175785,1.00789
-5129.57,0.680855,0.733831,2,3,0,5130.54,0.0358375,1.01254
-5128.21,1,0.535497,2,3,0,5129.7,0.0278596,1.01061
-5127.84,1,0.962915,2,3,0,5128.36,0.00247149,1.01156
-5127.84,0.00114585,1.71454,1,1,0,5128.82,0.00247149,1.01156
-5127.36,0.998309,0.191662,4,15,0,5128.38,0.00943844,1.01562
-5128.94,0.91135,0.341017,2,7,0,5131.01,0.0107059,0.99981
-5127.91,1,0.474582,2,7,0,5129.16,0.00511972,1.00696
-5127.48,0.916068,0.834056,1,3,0,5128.68,0.0211044,1.01435
-5127.71,0.890993,1.16064,1,1,0,5127.83,0.0230692,1.00975
-5127.98,0.792544,1.50319,1,1,0,5128.29,0.0226645,1.01932
-5127.58,1,1.49661,1,1,0,5127.84,0.0201059,1.0085
-5127.58,2.93127e-29,2.56005,1,1,0,5128.6,0.0201059,1.0085
