# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson4_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson4_1.data.R
# init = 2 (Default)
# random
#   seed = 2089485083
# output
#   file = CmdStanPoisson4_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
12643.9,0.988331,0.000775594,7,127,0,-12597.9,-0.665529,-0.349666,0.329661,-0.477104,-0.338727,-0.781513,-0.157964,-0.269058,-0.441524,-0.588032,0.0379469,0.706522,0.260391
12650.7,0.984882,0.00135927,8,255,0,-12630.1,-0.716124,-0.416698,0.253262,-0.445217,-0.319129,-0.758226,-0.0325625,-0.31154,-0.470043,-0.597908,0.0795879,0.714654,0.261682
12652.9,0.88468,0.00234031,8,255,0,-12644.3,-0.813442,-0.378395,-0.612269,-0.388956,-0.166042,-0.629074,0.239775,-0.116269,-0.463283,-0.481985,0.228691,0.711356,0.87466
12652.2,0.391973,0.00309469,7,127,0,-12644.5,-0.880518,-0.451898,-0.348923,-0.402797,-0.252012,-0.936794,0.141614,-0.147471,-0.200623,-0.464596,0.0198797,0.727558,0.770821
12658.8,0.95893,0.00117138,10,1023,0,-12643.5,0.363375,-0.0185853,-0.377345,0.131307,0.101557,-0.527011,0.420262,0.258756,-0.102028,-0.130388,0.0879318,0.559484,0.189706
12654.8,0.904394,0.00186732,8,511,0,-12645.1,0.334674,-0.154318,-0.678947,-0.0346676,-0.0196214,-0.400877,-0.0219888,0.229036,-0.343496,-0.153927,0.30801,0.571294,0.245733
12658.5,0.770398,0.00257992,6,63,0,-12648.8,0.33113,-0.0182031,-0.590442,0.0745601,0.0361308,-0.552192,0.168865,0.122692,-0.297452,-0.171074,0.185612,0.571964,0.226161
12659.8,0.966091,0.00254585,8,383,0,-12653.9,-0.277777,-0.00217563,0.149513,-0.0105159,0.0803901,-0.564988,0.279166,0.313378,-0.218738,-0.104776,0.313814,0.625832,0.277237
12659.2,0.0481377,0.00406275,7,255,0,-12653,-0.117223,-0.0977946,-0.334515,-0.0754088,0.014302,-0.404686,0.316707,0.250605,-0.0871397,-0.295198,0.225262,0.612213,0.40612
12662.5,0.999985,0.000686019,9,1023,0,-12655.2,0.00767655,-0.0836996,-0.141992,-0.0482509,0.0620658,-0.587505,0.183162,0.157166,-0.29501,-0.0487802,0.21893,0.602722,0.283679
12664.6,0.998333,0.00119091,8,511,0,-12657.6,0.269961,-0.0390571,-0.218048,0.0118711,-0.0474562,-0.358501,0.226422,0.193071,-0.0697429,-0.116513,0.152624,0.571242,0.185262
12664.3,0.909743,0.00204287,7,127,0,-12662,0.279442,-0.0469339,-0.142503,0.0780748,0.128583,-0.47441,0.26537,0.259884,-0.286057,-0.125518,0.192852,0.569939,0.188034
12662.4,0.84688,0.00281415,6,63,0,-12657.1,0.296209,-0.0634424,-0.130655,0.00595642,0.12535,-0.468953,0.287871,0.30744,-0.282825,-0.131433,0.209248,0.563944,0.190503
12659.7,0.628095,0.00332406,6,127,0,-12651.7,0.253248,0.0819144,-0.16563,0.170024,0.0506852,-0.378789,0.450433,0.238844,-0.113731,-0.0806739,0.361575,0.566941,0.215685
12664.5,0.982553,0.00233855,7,127,0,-12654.5,0.354682,-0.0748029,-0.208093,0.0607828,0.177712,-0.467557,0.185634,0.31917,-0.146863,-0.09394,0.141845,0.558739,0.214563
12658.3,0.216716,0.00378937,6,63,0,-12655.1,0.310647,0.053902,-0.10876,0.101448,0.0291964,-0.517686,0.186669,0.22699,-0.0430986,-0.115476,0.327571,0.556298,0.219788
12658.8,0.996172,0.0010272,8,255,0,-12651.3,0.138651,-0.129686,-0.285402,0.0239471,0.101037,-0.302981,0.282102,0.266896,-0.202873,-0.126667,0.17458,0.589347,0.213645
12662.7,0.976312,0.00171515,8,383,0,-12653.5,0.439237,-0.068283,-0.361497,0.0827737,0.0862061,-0.613889,0.148921,0.313613,-0.187726,-0.115552,0.220912,0.547649,0.35223
12662.2,0.998909,0.00271751,8,383,0,-12655.8,0.450502,-0.029009,-0.312276,0.0142667,0.138539,-0.565925,0.134591,0.318235,-0.227066,-0.103057,0.23082,0.546832,0.342428
12662.2,0.000132233,0.00450602,1,3,0,-12659.3,0.450502,-0.029009,-0.312276,0.0142667,0.138539,-0.565925,0.134591,0.318235,-0.227066,-0.103057,0.23082,0.546832,0.342428
12661.5,0.999967,0.000770779,9,767,0,-12652.4,0.460378,0.0324457,-0.40748,0.0839975,-0.0140914,-0.483138,0.163898,0.18953,-0.228458,-0.213206,0.310016,0.553452,0.252507
12661,0.995863,0.0012824,8,511,0,-12653.7,0.484385,-0.000901292,-0.316778,0.0591233,-0.0777438,-0.418958,0.221249,0.326069,-0.252244,-0.00949432,0.264617,0.544483,0.269793
