# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian5_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian5_1.data.R
# init = 2 (Default)
# random
#   seed = 1750850501
# output
#   file = CmdStanGaussian5_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-4985.27,1,0.00541916,2,3,0,4987.31,-0.0137481,1.00361
-4985.19,0.487693,0.00811208,2,3,0,4990.68,-0.00726021,1.00642
-4985.09,0.992645,0.00469329,3,7,0,4985.51,-0.0048468,1.00613
-4986.32,0.889439,0.00690995,2,7,0,4986.35,-0.0102587,0.986038
-4987.19,0.907539,0.00839165,2,3,0,4987.72,-0.0094211,0.982874
-4987.19,0.369838,0.0105153,2,3,0,4991.44,-0.0094211,0.982874
-4987.19,6.33295e-36,1.26649,1,1,0,4988.12,-0.0094211,0.982874
-4987.19,0,2.95734,0,1,1,4989.03,-0.0094211,0.982874
-4984.84,1,0.291592,3,7,0,4987.8,0.00258717,0.994837
-4985.13,0.996392,0.303694,3,7,0,4985.27,0.00673311,1.00136
-4984.69,0.99304,0.406552,2,7,0,4985.28,-0.00379024,0.994253
-4984.81,0.837144,0.622447,2,3,0,4986.07,0.00251151,0.995202
-4986.37,0.751938,0.642972,2,3,0,4986.45,0.0115575,0.990309
-4985.59,1,0.526928,2,3,0,4986.57,-0.00134021,1.00884
-4985.59,0.00194848,0.958059,1,1,0,4986.23,-0.00134021,1.00884
-4985.37,0.99632,0.0761163,3,15,0,4988.49,0.00939445,0.999384
-4986.89,0.981477,0.140609,2,7,0,4987.32,0.0169004,0.993596
-4986.87,1,0.250715,1,1,0,4986.97,0.0168365,0.993619
-4985.49,0.861141,0.476257,2,3,0,4988.73,-0.00324861,0.988661
-4986.4,0.962987,0.585317,2,3,0,4986.54,-0.0184614,1.00758
-4986.4,0.000146442,0.989534,1,1,0,4987.2,-0.0184614,1.00758
-4986.5,0.999644,0.0843567,2,3,0,4986.51,-0.0188353,1.00781
-4986.56,0.998111,0.161428,4,15,0,4987.39,0.0093104,0.98767
-4986.73,0.962797,0.305334,3,7,0,4987.76,-0.00637116,1.01346
-4985.09,1,0.514738,1,1,0,4986.29,-0.0041354,1.00619
-4985.17,1,0.963516,1,1,0,4985.18,-0.0133413,0.994222
-4985.17,3.50305e-07,1.78657,1,3,1,4985.53,-0.0133413,0.994222
-4984.9,1,0.170583,3,7,0,4985.21,-0.0124752,0.997845
-4984.56,0.973758,0.317963,2,5,0,4985.84,-0.00533276,0.996478
-4985.52,0.525622,0.543662,2,3,0,4987.37,-0.0107689,0.9899
-4985.59,0.99697,0.253285,3,7,0,4985.95,-0.0112903,1.00746
-4985.59,0.772745,0.459756,1,1,0,4986.57,-0.0112903,1.00746
-4985.13,0.981428,0.437796,2,7,0,4986.41,0.00750048,0.998449
-4984.75,1,0.749879,1,1,0,4985.09,0.0019296,1.00152
-4984.75,0.00586006,1.34049,1,1,0,4984.82,0.0019296,1.00152
-4985.16,0.995006,0.152403,4,15,0,4985.53,-0.0147014,0.996431
-4987.28,0.929484,0.269726,2,3,0,4987.55,-0.0267093,0.995548
-4986.65,1,0.395791,1,1,0,4987.25,-0.0242375,0.997584
-4989.15,0.530749,0.69786,1,1,0,4989.32,-0.03408,0.999271
-4988.29,1,0.347971,1,1,0,4989.15,-0.030985,1.00068
-4986.6,1,0.608546,1,1,0,4988.17,-0.0232291,0.994635
-4984.73,1,1.05476,1,1,0,4985.64,-0.00973046,1.00042
-4984.73,7.90655e-09,1.8123,1,1,0,4984.83,-0.00973046,1.00042
-4984.77,0.986557,0.232001,2,7,0,4985.25,-0.00600336,0.993678
-4986.17,0.871603,0.386323,3,7,0,4986.23,-0.00226974,1.01146
-4984.94,1,0.476144,2,3,0,4986.27,-0.00908456,1.00388
-4984.94,0.0156372,0.80944,1,1,0,4988.75,-0.00908456,1.00388
-4984.91,0.992629,0.115263,3,15,0,4986.54,-0.00200638,0.992307
-4985.32,0.994696,0.192841,3,7,0,4985.4,0.000843339,0.990157
-4984.51,0.997446,0.321825,3,7,0,4985.4,-0.00341301,0.99936
-4985.36,0.896229,0.536691,2,3,0,4985.44,-0.015673,0.994943
-4985.36,0.339255,0.694063,1,3,0,4989.15,-0.015673,0.994943
-4984.63,1,0.232029,3,7,0,4985.61,-0.00500411,0.995083
