# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian4_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian4_1.data.R
# init = 2 (Default)
# random
#   seed = 1750836518
# output
#   file = CmdStanGaussian4_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-5015.37,0.861032,0.42504,1,3,0,5019.59,-0.0033518,1.00342
-5016.68,0.834847,0.50465,2,3,0,5017.6,-0.00418425,1.01323
-5015.32,0.954409,0.561193,3,15,0,5017.92,-0.00242724,1.00229
-5016.43,0.771834,0.829102,2,3,0,5017,-0.0148365,1.00594
-5016.19,0.984242,0.789983,2,3,0,5017.11,-0.00021731,0.992273
-5016.19,0.459968,1.2425,1,1,0,5017.46,-0.00021731,0.992273
-5015.32,0.935077,0.569135,1,3,0,5016.91,-0.000896749,1.00272
-5015.31,0.983549,0.795247,2,3,0,5015.41,-0.00171895,1.00195
-5015.31,0.178806,1.23743,1,1,0,5016.14,-0.00171895,1.00195
-5016.63,0.964541,0.301627,3,7,0,5016.93,0.0106799,1.0096
-5015.41,1,0.449575,2,3,0,5016.63,0.00310881,1.00064
-5016.67,0.872291,0.722506,2,7,0,5016.67,-0.0174965,1.0034
-5016.67,0.373673,0.865559,1,1,0,5018.96,-0.0174965,1.0034
-5015.96,0.993187,0.338614,3,7,0,5017.45,-0.00458033,1.00933
-5016.07,0.977796,0.53213,3,7,0,5016.86,-0.0127465,0.998703
-5016.17,0.798605,0.803798,2,3,0,5018.12,0.00816667,1.00816
-5015.7,0.954252,0.81453,2,3,0,5016.75,0.00665165,0.998724
-5015.82,0.755233,1.15988,2,3,0,5016.09,-0.00150899,0.994474
-5016.4,0.715764,1.06698,1,1,0,5016.73,-0.00319727,0.991294
-5016.78,0.97329,0.902035,2,3,0,5017.5,-0.0124186,1.01089
-5015.96,1,1.32904,1,1,0,5016.28,-0.00429371,0.993863
-5015.96,5.09038e-11,2.06413,1,1,0,5018.14,-0.00429371,0.993863
-5016.01,0.991768,0.380586,3,7,0,5016.87,0.00879672,1.00622
-5015.64,1,0.58199,2,3,0,5016.19,0.0024614,1.00674
-5015.56,1,0.90127,1,1,0,5015.71,5.39216e-05,1.00647
-5017.1,0.286237,1.38906,1,1,0,5017.18,-0.0148446,0.992456
-5015.43,1,0.482645,2,3,0,5016.95,-0.00493119,0.999346
