# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanGaussian_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanGaussian_1.data.R
# init = 2 (Default)
# random
#   seed = 1750260049
# output
#   file = CmdStanGaussian_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,mu,sigma
-2.4996,0.999435,0.564681,3,7,0,3.01036,0.372052,0.974184
-2.72989,0.990156,0.592414,3,7,0,3.29331,0.475597,0.646807
-2.29445,0.999396,0.783262,3,7,0,3.02913,0.407029,0.888402
-2.58358,0.914864,1.22546,2,3,0,3.30954,0.33135,0.561792
-3.01446,0.245658,1.6096,2,3,0,5.36076,-0.0392464,1.08592
-2.30548,0.999941,0.274296,3,7,0,3.06332,0.0438544,0.950715
-4.05852,0.968568,0.492667,2,7,0,4.9365,0.0158068,1.33104
-3.56676,0.997199,0.823514,2,3,0,4.3086,0.0463741,1.23399
-3.46927,0.788848,1.5293,1,3,0,4.13342,-0.143406,1.13442
-2.94917,1,1.4809,1,1,0,3.43447,-0.150264,0.983555
-2.20595,1,2.80313,1,1,0,3.15834,0.138188,0.951595
-2.20595,0,5.29667,0,1,1,2.82932,0.138188,0.951595
-2.46131,0.998133,0.440734,3,7,0,2.52592,0.178778,1.01382
-2.21474,0.99915,0.83485,3,7,0,2.6453,0.261797,0.946978
-2.97132,0.797651,1.57651,2,3,0,3.98509,-0.0850619,1.04915
-4.12662,0.816261,1.59656,2,3,0,4.29643,0.4039,0.497695
-4.12662,0.0524875,1.71224,2,7,0,5.69243,0.4039,0.497695
-4.83972,0.991131,0.184797,3,7,0,5.65043,0.430379,0.479923
-5.60101,0.940299,0.339927,4,15,0,10.3176,0.133935,0.420167
-3.42289,1,0.533111,3,7,0,6.63862,0.435566,1.15751
-4.10976,0.9761,0.989131,3,7,0,4.39546,-0.12047,0.547325
-2.23559,1,1.69497,1,1,0,3.13105,-0.0483128,0.852686
-2.23559,0,3.08407,0,1,1,5.9705,-0.0483128,0.852686
-2.65055,0.996246,0.319075,4,15,0,3.41098,0.254377,0.535404
-2.76766,0.956179,0.576967,3,15,0,5.03604,-0.171741,0.790132
-2.69323,1,0.923086,1,1,0,2.80258,-0.158723,0.785232
-1.65546,0.849659,1.65551,2,3,0,3.09256,0.220277,0.673742
-3.14607,0.704173,1.94121,2,3,0,3.32389,0.565154,0.976132
-2.54235,0.90128,1.52417,1,3,0,4.1861,0.378086,0.589033
-2.1261,1,2.05223,2,3,0,2.57897,0.092655,0.594334
-2.1261,0.0371265,3.58745,1,3,1,4.27365,0.092655,0.594334
-2.12724,0.998601,0.474343,4,15,0,2.83088,0.419993,0.742848
-3.18565,0.963198,0.828365,2,7,0,3.77973,-0.150921,0.643929
