# stan_version_major = 2
# stan_version_minor = 19
# stan_version_patch = 1
# model = CmdStanPoisson2_model
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 1
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.050000000000000003 (Default)
#       delta = 0.80000000000000004 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 1
# id = 1
# data
#   file = CmdStanPoisson2_1.data.R
# init = 2 (Default)
# random
#   seed = 2089483631
# output
#   file = CmdStanPoisson2_samples_1.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,a0,a0s.1,a0s.2,a0s.3,a0s.4,a0s.5,a0s.6,a0s.7,a0s.8,a0s.9,a0s.10,a1,a0_sig
13515.3,0.88648,0.00119274,8,255,0,-13505.3,1.01157,-0.147692,0.0432416,-0.396914,0.0420842,-0.0283942,0.0888446,-0.0107151,0.423012,-0.107035,0.09795,0.524915,0.190583
13512.8,0.992247,0.00154714,8,511,0,-13502,1.2651,-0.298622,0.114332,-0.336627,-0.436154,0.0287239,0.233091,-0.301286,0.407521,-0.127327,0.242684,0.487281,0.395405
13516.8,0.987519,0.00255323,7,127,0,-13507.7,1.32243,-0.3269,0.1942,-0.535361,-0.354916,0.030222,0.206236,-0.164893,0.38344,-0.215521,0.134089,0.483045,0.386235
13517.5,0.0632644,0.00414033,4,21,0,-13511.1,1.32355,-0.327239,0.189753,-0.536913,-0.355251,0.0276699,0.207352,-0.173385,0.38368,-0.209619,0.1356,0.484368,0.38311
13517.2,0.996673,0.000809581,9,1023,0,-13513.8,1.51827,-0.320136,-0.0049215,-0.594735,-0.344785,-0.105813,0.152866,-0.264145,0.348853,-0.204056,0.0677407,0.474992,0.375039
13518.8,0.999972,0.00134115,9,767,0,-13509.4,0.968758,-0.19216,0.122712,-0.431445,0.150058,-0.0475374,0.226912,-0.0820134,0.511605,-0.187519,0.0651753,0.522904,0.28553
13518.7,0.998083,0.00222378,8,383,0,-13513,0.860472,-0.20003,0.146909,-0.18515,0.083828,0.00727401,0.14629,-0.0306871,0.511905,-0.126773,0.0874222,0.534707,0.177121
13516.2,0.957276,0.00364813,6,63,0,-13512.9,0.843417,-0.0772917,0.128555,-0.160975,0.100614,-0.0957758,0.220319,-0.186858,0.529034,-0.175641,0.23105,0.536247,0.196401
13515.3,0.292663,0.00543108,2,5,0,-13508.7,0.845503,-0.0944025,0.123204,-0.155823,0.110863,-0.0993638,0.236964,-0.191032,0.525278,-0.198734,0.217367,0.537297,0.19692
13515.8,0.986131,0.00184817,8,511,0,-13509.2,0.990074,0.0111676,0.337152,-0.489665,0.0690208,0.208843,0.331711,0.00133781,0.649551,-0.0247555,0.300311,0.499672,0.322814
